ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,binary
85,0.015625,0.375,24.0,78200,85100,1952,0.275,1.11,0.02,0.047,0.012,0.003,0.059000000000000004,0.026000000000000002,0.0,0.08,0.19399999999999998,0.12300000000000001,0.001,0.001,0.008,0
86,0.015625,0.375,24.0,81000,84700,1952,0.264,1.01,0.018000000000000002,0.042,0.013000000000000001,0.0003,0.068,0.018000000000000002,0.0,0.079,0.18600000000000003,0.034,0.001,0.001,0.006999999999999999,0
87,0.015625,0.375,24.0,84000,96000,2011,0.062,1.68,0.003,0.20600000000000002,0.009000000000000001,0.046,0.049,0.011000000000000001,0.066,0.015,0.045,0.009000000000000001,0.011000000000000001,0.045,0.003,0
88,0.015625,0.375,24.0,85000,89500,1952,0.27,1.14,0.017,0.054000000000000006,0.01,0.004,0.04,0.018000000000000002,0.0,0.11900000000000001,0.18899999999999997,0.039,0.001,0.001,0.008,0
89,0.017045455,0.375,22.0,49600,82500,1952,0.267,0.78,0.023,0.128,0.012,0.003,0.006,0.006,0.001,0.005,0.01,0.002,0.002,0.002,0.004,0
90,0.01875,0.375,20.0,78500,84000,2015,0.07400000000000001,1.36,0.002,0.215,0.015,0.047,0.026000000000000002,0.008,0.049,0.011000000000000001,0.018000000000000002,0.002,0.017,0.04,0.003,0
91,0.01875,0.375,20.0,80500,95000,2015,0.07400000000000001,1.36,0.002,0.215,0.015,0.047,0.026000000000000002,0.008,0.049,0.011000000000000001,0.018000000000000002,0.002,0.017,0.04,0.003,0
92,0.0234375,0.375,16.0,42500,68000,1951,0.239,0.7,0.024,0.026000000000000002,0.008,0.004,0.023,0.001,0.0,0.013999999999999999,0.016,0.002,0.006,0.001,0.006,0
93,0.0234375,0.375,16.0,43500,70000,1962,0.28300000000000003,0.6729999999999999,0.022000000000000002,0.051,0.005,0.005,0.015,0.002,0.0,0.012,0.028999999999999998,0.005,0.006999999999999999,0.001,0.004,0
94,0.0234375,0.375,16.0,43500,67500,1951,0.239,0.7,0.024,0.026000000000000002,0.008,0.004,0.023,0.001,0.0,0.013999999999999999,0.016,0.002,0.006,0.001,0.006,0
95,0.0234375,0.375,16.0,43800,70500,1951,0.33799999999999997,0.74,0.035,0.026000000000000002,0.009000000000000001,0.001,0.025,0.001,0.001,0.015,0.017,0.002,0.006999999999999999,0.001,0.006,0
96,0.0234375,0.375,16.0,44800,71000,1951,0.33799999999999997,0.74,0.035,0.026000000000000002,0.009000000000000001,0.001,0.025,0.001,0.001,0.015,0.017,0.002,0.006999999999999999,0.001,0.006,0
97,0.0234375,0.375,16.0,45000,78500,1951,0.285,0.82,0.02,0.157,0.009000000000000001,0.046,0.032,0.001,0.001,0.016,0.019,0.002,0.001,0.001,0.006,0
98,0.0234375,0.375,16.0,46300,71000,1951,0.27899999999999997,0.74,0.025,0.027999999999999997,0.009000000000000001,0.001,0.024,0.0,0.001,0.015,0.017,0.002,0.006999999999999999,0.001,0.006,0
99,0.0234375,0.375,16.0,46700,76500,1951,0.259,1.05,0.02,0.040999999999999995,0.01,0.008,0.021,0.0,0.001,0.011000000000000001,0.013999999999999999,0.001,0.004,0.001,0.005,0
